what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1489418737486
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1489418741121
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1489418741355
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1489418779657
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1489418842548
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1489418855636
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1489418909653
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1489418913865
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1489418970938
started,bundle,org.eclipse.wst.dtd.core,1.1.500.v201103300335,"org.eclipse.wst.dtd.core",1489418972155
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1489418972342
error,log,,,"Failed to load properties file for project 'Spinner'",1489418972825
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1489418974245
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1489418974822
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1489418977927
opened,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1489418978691
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1489418980813
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1489418982716
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1489418982731
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1489418995386
closed,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1489419006649
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1489419008037
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1489419043607
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1489419095920
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1489419149844
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1489419178335
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1489419199825
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1489419205764
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1489419205784
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1489419258722
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1489419283448
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1489419285460
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1489419303983
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1489419304373
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1489419304482
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1489419304575
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1489419334804
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1489419341091
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1489419374376
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1489419380938
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1489419385587
