what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498642620601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498642624556
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1498642645451
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1498642646445
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1498642647605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498642670455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498642676147
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1498642676501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498642760405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498642881277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1498642881721
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1498642885488
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1498642887317
error,log,,,"An error occurred while automatically activating bundle org.eclipse.jdt.debug.ui (966).",1498642887492
error,log,,,"Error instantiating adapter factory for ""org.eclipse.jdt.internal.ui.javaeditor.CompilationUnitEditor"" declared by ""org.eclipse.jdt.debug.ui"".",1498642887511
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1498642887536
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1498642898164
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1498642898252
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1498642898294
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1498642898329
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1498642907156
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1498642922614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498642939803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498642940059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498642944015
