what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1496066890944
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496066907391
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496066921164
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496066950279
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496066951114
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496066956656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496066980451
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496066984238
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496066997311
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067016249
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067016651
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1496067023273
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067025204
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067033595
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067035376
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067054865
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067061291
opened,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1496067223069
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067414722
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1496067427067
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067437803
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067450142
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067496327
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067499584
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067499987
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067507357
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067524172
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067526880
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067535369
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067539890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067548565
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067551487
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067599204
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067601140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067618725
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067662109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067703904
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067712022
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067733029
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067735252
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1496067752927
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1496067760850
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1496067763940
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1496067769417
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067795504
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496067821195
