what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.base,21.0.0.v201210310015-519525,"com.android.ide.eclipse.base",1496057701880
os,sysinfo,,,"win32",1496057701880
arch,sysinfo,,,"x86",1496057701880
ws,sysinfo,,,"win32",1496057701880
locale,sysinfo,,,"en_US",1496057701880
processors,sysinfo,,,"4",1496057701880
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1496057701880
java.runtime.version,sysinfo,,,"1.8.0_121-b13",1496057701880
java.specification.name,sysinfo,,,"Java Platform API Specification",1496057701880
java.specification.vendor,sysinfo,,,"Oracle Corporation",1496057701880
java.specification.version,sysinfo,,,"1.8",1496057701880
java.vendor,sysinfo,,,"Oracle Corporation",1496057701880
java.version,sysinfo,,,"1.8.0_121",1496057701880
java.vm.info,sysinfo,,,"mixed mode",1496057701880
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1496057701880
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1496057701880
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1496057701880
java.vm.specification.version,sysinfo,,,"1.8",1496057701880
java.vm.vendor,sysinfo,,,"Oracle Corporation",1496057701880
java.vm.version,sysinfo,,,"25.121-b13",1496057701880
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1496057702566
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1496057702566
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1496057702832
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1496057703549
started,bundle,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.adt",1496057704236
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1496057711583
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1496057711614
started,bundle,org.eclipse.jst.servlet.ui,1.1.500.v201105122000,"org.eclipse.jst.servlet.ui",1496057722831
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1496057730662
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1496057730678
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1496057730803
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1496057730818
