what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1498402556753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1498402556753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498402563123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498402572153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498402579290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498402926144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498402937984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498402983619
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1498402983629
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1498402985219
activated,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1498402996859
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1498402996909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498403009439
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498403019093
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1498403035330
activated,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1498403038530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498403038700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498403043210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498403043380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498403046260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498403046280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498403048910
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1498403049020
closed,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1498403049020
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1498403052290
error,log,,,"An error occurred while automatically activating bundle org.eclipse.jdt.debug.ui (966).",1498403052290
error,log,,,"Error instantiating adapter factory for ""org.eclipse.jdt.internal.ui.javaeditor.CompilationUnitEditor"" declared by ""org.eclipse.jdt.debug.ui"".",1498403052300
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1498403052300
closed,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1498403052300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498403058029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498403073584
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1498403075301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498403079321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498403081241
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1498403081241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498403085251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498403095781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498403101379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498403167789
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1498403170889
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1498403173229
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1498403186229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498403190729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498403234499
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1498403234599
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1498403243489
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1498403253249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498403257339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498403299682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1498403299692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498403304062
