what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1489733549911
opened,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1489733550519
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1489733550597
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1489733550722
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1489733551065
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1489733568896
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1489733568912
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.AllMarkersView",1489733569224
closed,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1489733569239
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1489733594855
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1489733594855
closed,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1489733602452
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733673650
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733673666
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733673666
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733673697
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733673713
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733673744
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733673775
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733673791
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733674118
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733674165
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733674181
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733674259
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733674290
error,log,,,"TableRowRule.onResizeEnd() failed: java.lang.NullPointerException",1489733674680
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1489733773647
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1489733936885
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733993123
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733993123
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733993155
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733993170
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733993186
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733993217
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733993248
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733993248
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733993279
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733993295
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733993311
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733993342
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489733993373
error,log,,,"TableRowRule.onResizeEnd() failed: java.lang.NullPointerException",1489733994059
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489734015821
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489734015837
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489734015853
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489734015884
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489734015899
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489734015915
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489734015931
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489734015962
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489734015977
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489734015993
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489734016009
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489734016024
