what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1495906462469
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1495906462547
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1495906462610
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1495906462657
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495906474144
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495906560700
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1495906564850
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1495906565349
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495906571464
error,log,,,"Warning: Ignoring name conflict in resource file for name hello_world",1495906594488
error,log,,,"Warning: Ignoring name conflict in resource file for name menu_settings",1495906594488
started,bundle,org.eclipse.wst.dtd.core,1.1.500.v201103300335,"org.eclipse.wst.dtd.core",1495906594566
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1495906594738
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1495906595034
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495906595159
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1495906595190
opened,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1495906595814
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1495906596095
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1495906611429
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495906615969
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495906660306
