what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1495907238069
java.runtime.version,sysinfo,,,"1.8.0_121-b13",1495907238069
java.specification.name,sysinfo,,,"Java Platform API Specification",1495907238069
java.specification.vendor,sysinfo,,,"Oracle Corporation",1495907238069
java.specification.version,sysinfo,,,"1.8",1495907238069
java.vendor,sysinfo,,,"Oracle Corporation",1495907238069
java.version,sysinfo,,,"1.8.0_121",1495907238069
java.vm.info,sysinfo,,,"mixed mode",1495907238069
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1495907238069
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1495907238069
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1495907238069
java.vm.specification.version,sysinfo,,,"1.8",1495907238069
java.vm.vendor,sysinfo,,,"Oracle Corporation",1495907238069
java.vm.version,sysinfo,,,"25.121-b13",1495907238069
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1495907238178
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1495907239179
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1495907239194
started,bundle,org.eclipse.jst.servlet.ui,1.1.500.v201105122000,"org.eclipse.jst.servlet.ui",1495907239257
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1495907243734
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1495907243734
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1495907253094
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1495907253858
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1495907253967
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1495907254014
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1495907254030
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1495907258632
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1495907269012
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1495907279339
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1495907303995
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495907314606
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495907327965
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1495907333565
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1495907335858
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1495907353889
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1495907376871
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1495907381036
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495907385858
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495907388198
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495907390694
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495907393769
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495907401460
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495907459124
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1495907462462
opened,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1495907469919
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1495907470106
started,bundle,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.ui",1495907472228
started,bundle,org.eclipse.jst.jsp.core,1.2.400.v201105162116,"org.eclipse.jst.jsp.core",1495907472274
