what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498396561539
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498396598895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498396608595
error,log,,,"An error occurred while collecting items to be installed",1498397011626
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498397056629
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498397059140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498397060903
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1498397061028
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498397066514
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498397157873
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498397162014
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1498397166367
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498397367838
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.install",1498397367869
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498397372910
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1498397409544
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498397437479
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1498397437479
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.update",1498397442034
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498397442331
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498397498575
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498397498871
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.300.v20110506,"org.eclipse.equinox.frameworkadmin.equinox",1498397638467
