what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1488962943579
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1488962943579
started,bundle,org.eclipse.wst.jsdt.core,1.1.100.v201104272153,"org.eclipse.wst.jsdt.core",1488962943579
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1488962943579
started,bundle,org.eclipse.wst.jsdt.ui,1.1.100.v201105041953,"org.eclipse.wst.jsdt.ui",1488962943751
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1488962943766
started,bundle,org.eclipse.wst.sse.ui,1.3.0.v201105101529,"org.eclipse.wst.sse.ui",1488962943766
started,bundle,org.eclipse.wst.validation,1.2.300.v201104190230,"org.eclipse.wst.validation",1488962943766
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1488962943766
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1488962943766
started,bundle,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui",1488962943766
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1488962943766
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1488962943766
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1488962943766
started,bundle,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.adt",1488962943766
started,bundle,com.android.ide.eclipse.base,21.0.0.v201210310015-519525,"com.android.ide.eclipse.base",1488962943766
os,sysinfo,,,"win32",1488962943766
arch,sysinfo,,,"x86",1488962943766
ws,sysinfo,,,"win32",1488962943766
locale,sysinfo,,,"en_US",1488962943766
processors,sysinfo,,,"4",1488962943766
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1488962943766
java.runtime.version,sysinfo,,,"1.8.0_121-b13",1488962943766
java.specification.name,sysinfo,,,"Java Platform API Specification",1488962943766
java.specification.vendor,sysinfo,,,"Oracle Corporation",1488962943766
java.specification.version,sysinfo,,,"1.8",1488962943766
java.vendor,sysinfo,,,"Oracle Corporation",1488962943766
java.version,sysinfo,,,"1.8.0_121",1488962943766
java.vm.info,sysinfo,,,"mixed mode",1488962943766
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1488962943766
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1488962943766
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1488962943766
java.vm.specification.version,sysinfo,,,"1.8",1488962943766
java.vm.vendor,sysinfo,,,"Oracle Corporation",1488962943766
java.vm.version,sysinfo,,,"25.121-b13",1488962943766
